number,title,url,difficulty,acceptance,likes,popularity
990,Satisfiability of Equality Equations,https://leetcode.com/problems/satisfiability-of-equality-equations,Medium,48.13488723735075,1030,103.0
1235,Maximum Profit in Job Scheduling,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Hard,48.3684530486082,1812,95.36842105263158
1143,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence,Medium,58.809979326197904,3872,88.0
72,Edit Distance,https://leetcode.com/problems/edit-distance,Hard,48.51427763110623,6440,85.86666666666666
958,Check Completeness of a Binary Tree,https://leetcode.com/problems/check-completeness-of-a-binary-tree,Medium,52.72160031487677,1505,75.25
226,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree,Easy,68.78243876159411,6066,71.36470588235294
1004,Max Consecutive Ones III,https://leetcode.com/problems/max-consecutive-ones-iii,Medium,61.08275871024712,2965,70.5952380952381
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water,Hard,53.22643002536424,13580,70.36269430051813
992,Subarrays with K Different Integers,https://leetcode.com/problems/subarrays-with-k-different-integers,Hard,52.02870137237144,2155,69.51612903225806
968,Binary Tree Cameras,https://leetcode.com/problems/binary-tree-cameras,Hard,41.008317237573415,2061,68.7
208,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree,Medium,54.36022310772288,5138,66.72727272727273
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum,Medium,57.53364265716717,5496,63.172413793103445
337,House Robber III,https://leetcode.com/problems/house-robber-iii,Medium,52.29618967287664,4636,62.648648648648646
1277,Count Square Submatrices with All Ones,https://leetcode.com/problems/count-square-submatrices-with-all-ones,Medium,73.63817557889347,2418,62.0
1312,Minimum Insertion Steps to Make a String Palindrome,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome,Hard,61.53786422844719,1081,60.05555555555556
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram,Hard,38.551667896090045,6925,59.69827586206897
632,Smallest Range Covering Elements from K Lists,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,Hard,55.90054068054522,1623,57.96428571428572
329,Longest Increasing Path in a Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,Hard,47.64574075045526,3925,57.72058823529412
78,Subsets,https://leetcode.com/problems/subsets,Medium,67.5390886727606,6821,56.37190082644628
240,Search a 2D Matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii,Medium,46.36236188665796,5459,56.27835051546392
106,Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,Medium,51.891620316842776,3150,56.25
1293,Shortest Path in a Grid with Obstacles Elimination,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,Hard,43.26525305533887,1012,56.22222222222222
1319,Number of Operations to Make Network Connected,https://leetcode.com/problems/number-of-operations-to-make-network-connected,Medium,55.880775326100206,1287,55.95652173913044
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream,Hard,49.07454098029544,5142,55.891304347826086
895,Maximum Frequency Stack,https://leetcode.com/problems/maximum-frequency-stack,Hard,63.83098731741305,2103,55.3421052631579
1035,Uncrossed Lines,https://leetcode.com/problems/uncrossed-lines,Medium,56.708456893430025,1322,55.083333333333336
583,Delete Operation for Two Strings,https://leetcode.com/problems/delete-operation-for-two-strings,Medium,52.880191076090895,2073,54.55263157894737
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list,Easy,67.26860746624853,8157,54.38
416,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum,Medium,45.49632728373934,5219,53.8041237113402
1658,Minimum Operations to Reduce X to Zero,https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero,Medium,33.30595156076104,1128,53.71428571428572
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle,Hard,40.5830076644765,4935,53.641304347826086
946,Validate Stack Sequences,https://leetcode.com/problems/validate-stack-sequences,Medium,64.66053333788497,1978,53.45945945945946
983,Minimum Cost For Tickets,https://leetcode.com/problems/minimum-cost-for-tickets,Medium,63.08181130679375,3392,53.0
863,All Nodes Distance K in Binary Tree,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,Medium,59.14394891390763,4420,52.0
871,Minimum Number of Refueling Stops,https://leetcode.com/problems/minimum-number-of-refueling-stops,Hard,35.00217075204499,1880,50.810810810810814
46,Permutations,https://leetcode.com/problems/permutations,Medium,68.93647450518725,7239,50.62237762237762
174,Dungeon Game,https://leetcode.com/problems/dungeon-game,Hard,34.09939216994073,2829,50.517857142857146
213,House Robber II,https://leetcode.com/problems/house-robber-ii,Medium,38.22891638549466,3389,48.41428571428571
1209,Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,Medium,56.637245732990415,1912,47.8
230,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst,Medium,64.4252670159569,4578,47.6875
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal,Medium,58.51531387732416,5615,47.58474576271186
300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence,Medium,46.60990871608283,8646,47.24590163934426
1249,Minimum Remove to Make Valid Parentheses,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,Medium,64.75564189894031,2598,46.392857142857146
