number,title,url,difficulty,likes,dislikes,accepted,submissions,acceptance,popularity
1579,Remove Max Number of Edges to Keep Graph Fully Traversable,https://leetcode.com/problems/remove-max-number-of-edges-to-keep-graph-fully-traversable,Hard,403,3,8374,17429,48.046359515749614,134.33333333333334
1851,Minimum Interval to Include Each Query,https://leetcode.com/problems/minimum-interval-to-include-each-query,Hard,267,2,4934,11209,44.01819966098671,133.5
1368,Minimum Cost to Make at Least One Valid Path in a Grid,https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid,Hard,683,6,20180,34326,58.78925595758317,113.83333333333333
990,Satisfiability of Equality Equations,https://leetcode.com/problems/satisfiability-of-equality-equations,Medium,1030,10,33744,70103,48.13488723735075,103.0
1235,Maximum Profit in Job Scheduling,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Hard,1812,19,56490,116791,48.368453048608195,95.36842105263158
1434,Number of Ways to Wear Different Hats to Each Other,https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other,Hard,472,5,7317,18008,40.631941359395825,94.4
1439,Find the Kth Smallest Sum of a Matrix With Sorted Rows,https://leetcode.com/problems/find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows,Hard,632,7,19548,31830,61.41376060320452,90.28571428571429
1143,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence,Medium,3872,44,244072,415018,58.809979326197904,88.0
1643,Kth Smallest Instructions,https://leetcode.com/problems/kth-smallest-instructions,Hard,262,3,6108,13526,45.157474493567946,87.33333333333333
72,Edit Distance,https://leetcode.com/problems/edit-distance,Hard,6440,75,387550,798837,48.514277631106225,85.86666666666666
1743,Restore the Array From Adjacent Pairs,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,Medium,400,5,15505,23553,65.83025516919288,80.0
1463,Cherry Pickup II,https://leetcode.com/problems/cherry-pickup-ii,Hard,925,12,30384,44340,68.52503382949932,77.08333333333333
1911,Maximum Alternating Subsequence Sum,https://leetcode.com/problems/maximum-alternating-subsequence-sum,Medium,381,5,9089,15716,57.83278187834055,76.2
958,Check Completeness of a Binary Tree,https://leetcode.com/problems/check-completeness-of-a-binary-tree,Medium,1505,20,91085,172766,52.721600314876774,75.25
1567,Maximum Length of Subarray With Positive Product,https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product,Medium,517,7,15976,41695,38.316344885477875,73.85714285714286
1388,Pizza With 3n Slices,https://leetcode.com/problems/pizza-with-3n-slices,Hard,430,6,6548,13901,47.10452485432703,71.66666666666667
226,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree,Easy,6066,85,771155,1121151,68.78243876159411,71.36470588235294
1585,Check If String Is Transformable With Substring Sort Operations,https://leetcode.com/problems/check-if-string-is-transformable-with-substring-sort-operations,Hard,283,4,5322,11036,48.223994200797385,70.75
